,cpu_name,n_cores,cpu_frequency
398,Processador Intel® Core™ i5-9300H,4,4.10 GHz
399,Processador Intel® Core™ i5-9400H,4,4.30 GHz
400,Processador Intel® Core™ i5-9400T,6,3.40 GHz
401,Processador Intel® Core™ i5-9500,6,4.40 GHz
402,Processador Intel® Core™ i5-9500F,6,4.40 GHz
403,Processador Intel® Core™ i5-9500T,6,3.70 GHz
404,Processador Intel® Core™ i5-9600,6,4.60 GHz
405,Processador Intel® Core™ i5-9600T,6,3.90 GHz
406,Processador Intel® Core™ i7-9700,8,4.70 GHz
407,Processador Intel® Core™ i7-9700F,8,4.70 GHz
408,Processador Intel® Core™ i7-9700T,8,4.30 GHz
409,Processador Intel® Core™ i7-9750H,6,4.50 GHz
410,Processador Intel® Core™ i7-9750HF,6,4.50 GHz
411,Processador Intel® Core™ i7-9850H,6,4.60 GHz
412,Processador Intel® Core™ i9-9880H,8,4.80 GHz
413,Processador Intel® Core™ i9-9900,8,5.00 GHz
414,Processador Intel® Core™ i9-9900T,8,4.40 GHz
415,Processador Intel® Core™ i9-9980HK,8,5.00 GHz
416,Processador Intel® Core™ i5-8365U,4,4.10 GHz
417,Processador Intel® Core™ i7-8665U,4,4.80 GHz
418,Processador Intel® Core™ i5-9300HF,4,4.10 GHz
419,Processador Intel® Core™ i3-9350KF,4,4.60 GHz
420,Processador Intel® Core™ i5-9400,6,4.10 GHz
421,Processador Intel® Core™ i5-9400F,6,4.10 GHz
422,Processador Intel® Core™ i5-9600KF,6,4.60 GHz
423,Processador Intel® Core™ i7-9700KF,8,4.90 GHz
424,Processador Intel® Core™ i9-9900KF,8,5.00 GHz
425,Processador Intel® Core™ i5-8310Y,2,3.90 GHz
426,Processador Intel® Core™ i5-9600K,6,4.60 GHz
427,Processador Intel® Core™ i7-9700K,8,4.90 GHz
428,Processador Intel® Core™ i7-9800X série X,8,4.40 GHz
429,Processador Intel® Core™ i9-9820X série X,10,4.10 GHz
430,Processador Intel® Core™ i9-9900K,8,5.00 GHz
431,Processador Intel® Core™ i9-9900X série X,10,4.40 GHz
432,Processador Intel® Core™ i9-9920X série X,12,4.40 GHz
433,Processador Intel® Core™ i9-9940X série X,14,4.40 GHz
434,Processador Intel® Core™ i9-9960X série X,16,4.40 GHz
435,Processador Intel® Core™ i9-9980XE Extreme Edition,18,4.40 GHz
436,Processador Intel® Core™ i3-8145UE,2,3.90 GHz
437,Processador Intel® Core™ i5-8365UE,4,4.10 GHz
438,Processador Intel® Core™ i7-8665UE,4,4.40 GHz
439,Processador Intel® Core™ i3-8100B,4,
440,Processador Intel® Core™ i5-8210Y,2,3.60 GHz
441,Processador Intel® Core™ i3-8145U,2,3.90 GHz
442,Processador Intel® Core™ i5-8200Y,2,3.90 GHz
443,Processador Intel® Core™ i5-8265U,4,3.90 GHz
444,Processador Intel® Core™ i7-8500Y,2,4.20 GHz
445,Processador Intel® Core™ i7-8565U,4,4.60 GHz
446,Processador Intel® Core™ m3-8100Y,2,3.40 GHz
447,Processador Intel® Core™ i5-8305G com placa de vídeo Radeon™ Pro WX Vega M GL,4,3.80 GHz
448,Processador Intel® Core™ i7-8706G com placa de vídeo Radeon™ Pro WX Vega M GL,4,4.10 GHz
449,Processador Intel® Core™ i7-8086K,6,5.00 GHz
450,Processador Intel® Core™ i3-8100T,4,
451,Processador Intel® Core™ i3-8109U,2,3.60 GHz
452,Processador Intel® Core™ i3-8300,4,
453,Processador Intel® Core™ i3-8300T,4,
454,Processador Intel® Core™ i5-8259U,4,3.80 GHz
455,Processador Intel® Core™ i5-8269U,4,4.20 GHz
456,Processador Intel® Core™ i5-8300H,4,4.00 GHz
457,"Processador Intel® Core™ i5+8400
(cache de 9 M, até 4,00 GHz), inclui Intel® Optane™ Memory",6,4.00 GHz
458,Processador Intel® Core™ i5-8400B,6,4.00 GHz
